part_id;anomaly_class;;anomaly_classes;anomaly_description
101001;1;;1;part too short
106701;3;;2;part uneven clamped
106603;3;;3;miscellaneous process errors not visible in process data
106602;3;;;
106504;3;;;
106501;3;;;
124203;1;;;
124404;1;;;
118001;1;;;
118004;1;;;
118301;1;;;
119404;3;;;
118101;1;;;
113101;2;;;
113601;3;;;
113703;3;;;
101104;3;;;
101103;3;;;
117103;3;;;
110602;2;;;
110604;2;;;
110504;2;;;
110503;2;;;
114704;2;;;
111704;2;;;
114001;2;;;
110903;2;;;
114902;2;;;
114404;2;;;
122601;2;;;
114402;2;;;
111003;2;;;
111001;2;;;
111203;2;;;
111002;2;;;
111802;2;;;
110902;2;;;
110403;2;;;
109003;2;;;
110301;2;;;
110402;2;;;
109002;2;;;
109001;2;;;
112703;2;;;
110901;2;;;
112701;2;;;
110302;2;;;
112602;2;;;
112604;2;;;
112502;2;;;
112601;2;;;
112503;2;;;
111404;2;;;
112504;2;;;
112603;2;;;
112702;2;;;
124504;1;;;
124603;1;;;
124704;1;;;
124403;1;;;
124503;1;;;
124804;1;;;
124604;1;;;
124703;1;;;
124502;1;;;
124402;1;;;
124602;1;;;
124702;1;;;
124802;1;;;
124801;1;;;
124701;1;;;
124601;1;;;
124501;1;;;
124401;1;;;
124304;1;;;
124303;1;;;
124302;1;;;
124301;1;;;
124204;1;;;
124202;1;;;
124201;1;;;
124104;1;;;
124103;1;;;
124102;1;;;
124101;1;;;
124004;1;;;
124003;1;;;
124002;1;;;
124901;1;;;
123902;1;;;
124803;1;;;
123901;1;;;
123903;1;;;
123801;1;;;
123704;1;;;
123803;1;;;
123703;1;;;
123802;1;;;
123602;1;;;
123601;1;;;
123702;1;;;
123701;1;;;
123604;1;;;
123504;1;;;
123502;1;;;
123402;1;;;
123503;1;;;
123404;1;;;
123603;1;;;
123501;1;;;
123403;1;;;
122901;1;;;
123304;1;;;
123004;1;;;
123002;1;;;
123101;1;;;
123104;1;;;
123103;1;;;
123102;1;;;
123303;1;;;
123201;1;;;
123202;1;;;
123302;1;;;
123301;1;;;
123204;1;;;
123003;1;;;
122903;1;;;
122902;1;;;
123001;1;;;
123203;1;;;
122904;1;;;
114702;1;;;
111301;1;;;
111601;1;;;
118202;1;;;
111304;1;;;
111501;1;;;
111102;1;;;
111101;1;;;
111303;1;;;
114504;1;;;
111302;1;;;
111401;1;;;
111503;1;;;
117904;1;;;
111502;1;;;
118201;1;;;
118203;1;;;
114692;2;;;
110001;2;;;
108604;2;;;
